s_no,organization,problem_title,category,ps_number,submitted_ideas,theme,detail_url,domain_category
33,Ministry of Electronics and Information Technology,"Develop a functional solution that demonstrates the hardware enabled root of trust.×Problem Statement DetailsProblem Statement ID1559Problem Statement TitleDevelop a functional solution that demonstrates the hardware enabled root of trust.Description1. Background. UIDAI has implemented app-based face authentication solution. This solution uses the support of the backend service to secure the captured image using PKI technology, so that it can be used by the authentication system. UIDAI intends to avoid this network call for encryption and implement an in-device solution to enable PKI implementation.
2. Problem Description. As part of the challenge, participating teams to develop a solution that is platform agnostic i.e applicable for both Android and IOS platforms, and will derive the root of trust from the hardware of the device. The key pair so generated with the help of hardware is to identify the device uniquely and must connect it with IMEI number or any such unique number of the mobile device. The solution must meet the following requirements:-
3. The proposed solution must meet the following objectives.
3.1 Feature Requirement. The solution must use hardware to generate a key pair to uniquely identify the device. The private key of the certificate par must remain in the hardware and must not be extractable. All encryption must be performed within the hardware enclave (i.e in hardware) to protect the private key.
3.2 The solution must support key lifecycle management i.e key expiry or revocation.
3.3 The solution must be completely offline i.e. should not use any backend component for implementation of the PKI security.
3.4 The solution must enable UIDAI to use RSA PKCS or OAEP encryption protocols.
4. Expected Solution. The expected outcome of this project is a functionalsolution that demonstrates the PKI encryption of blob data in the mobile device using a key pair that is linked to the device hardware.OrganizationMinistry of Electronics and Information TechnologyDepartmentCo-ordination DivisionCategoryHardwareThemeSmart AutomationYoutube LinkDataset LinkContact info",Problem Statement ID,1559,Problem Statement Title,Develop a functional solution that demonstrates the hardware enabled root of trust.,https://www.sih.gov.in/sih2024PS,security
36,Narcotics Control Bureau (NCB),"Solution for end-to-end tracking of dual use chemicals used in both legitimate industries and illicit drug production from point of manufacture to point of end use/export.×Problem Statement DetailsProblem Statement ID1562Problem Statement TitleSolution for end-to-end tracking of dual use chemicals used in both legitimate industries and illicit drug production from point of manufacture to point of end use/export.DescriptionBackground: Dual use precursor chemicals are substances that have legitimate industrial and commercial applications but can also be used in the illicit manufacture of drugs. For e.g. Opium is converted to Heroin using Acetic Anhydride and manufacturing of Methamphetamine is done using Ephedrine or Pseudoephedrine. Precursor chemicals are essential in various legal industries such as pharmaceuticals, agriculture, manufacturing etc., but their potential for misuse necessitates strict regulation and monitoring. Appreciating this, Government of India has put different levels of regulations on some of the precursor chemicals in India under the Regulation of Controlled Substances Order, 2013. 7 widely misused precursor chemicals are put under strictest of the controls, where in any firm dealing in any of these 7 chemicals are required to maintain records and file quarterly reports with jurisdictional NCB Zonal Unit. Any activity undertaken with respect to these chemicals like manufacture, possession, storage, sale, purchase, distribution, export, consumption etc are to be reported to NCB. Further, NCB also issues Unique Registration Number (URN) to the firms indulged in the said activities. If any individual or firm is found to be involved in any of the activities without a valid URN are punishable under the Narcotic Drugs and Controlled Substances Act, 1985.
Description: It is observed that some of the firms with valid URN to be handling any of the 7 domestically controlled precursor chemical, divert the same from licit channel and traffic it for manufacturing of narcotic drugs or psychotropic substances. Further, the investigations conducted also reveal that the firms usually create documentation of the movement of precursor to a licit firm for a licit activity and divert the same for illicit activities. Therefore, there is a need for end-to-end tracking of the 7 domestically controlled precursor chemicals (controlled substances)
Expected Solution: A hardware/software/chemical solution for end-to-end tracking of dual use chemicals used in both legitimate industries and illicit drug production from point of manufacture to point of end use/exportOrganizationNarcotics Control Bureau (NCB)DepartmentNarcotics Control Bureau (NCB)CategoryHardwareThemeBlockchain & CybersecurityYoutube LinkDataset LinkContact info",Problem Statement ID,1562,Problem Statement Title,Solution for end-to-end tracking of dual use chemicals used in both legitimate industries and illicit drug production from point of manufacture to point of end use/export.,https://www.sih.gov.in/sih2024PS,security
120,Ministry of Defence,"DDoS Protection System for Cloud: Architecture and Tool×Problem Statement DetailsProblem Statement ID1649Problem Statement TitleDDoS Protection System for Cloud: Architecture and ToolDescriptionBackground:
Many organization are using Cloud for hosting their web applications. The attackers can try to attack these webservers for achieving Denial of Service attack. Specifically, Distributed Denial-of-Service (DDoS) attack is a malicious attempt to disrupt the normal traffic of a targeted server, service or network of Cloud infrastructure by overwhelming the target or its surrounding infrastructure with a flood of internet traffic. DDoS attacks achieve effectiveness by utilizing multiple compromised computer systems assources of attack traffic.
Exploited machines can include computers and other networked resources. Therefore, it is essential to develop appropriate security tools to counter and protect against these attacks.

├ö├ç├│ Description:
The most obvious symptom of a DDoS attack is that a website or service suddenly becomes slow or unavailable. But since a number of causes such a legitimate spike in traffic can create similar performance issues, further
investigation is usually required. Therefore, suitable analytics tools need to be developed to clearly identify an attack as DDoS.
Following are some of the patterns for a DDoS attack:
1. Suspicious amounts of traffic originating from a single IP address or IP range
2. A flood of traffic from users who share a single behavioral profile, such as device type, geolocation, or web browser version
3. An unexplained surge in requests to a single page or endpoint
4. Odd traffic patterns such as spikes at odd hours of the day or patterns that appear to be unnatural (e.g. a spike every 10 minutes)
There are other, more specific signs of DDoS attack that can vary depending on the type of attack. The tool developer should be creative to consider other signs also.
For the above problem statements, following assumptions can be made:
1. Cloud is hosting a website and providing some services to its users.
2. The website should be always up and providing services to its users (high availability).
3. The attackers can flood the website directly or via other nodes (DDoS).
4. The attacker can also sabotage the link between a client and webserver.
5. The attack can come from outside or from within the cloud infrastructure.
A solution needs to be built by suitably designing the cloud architecture and developing some tool (s) to automatically detect and recover from the DDoS attack.

Expected Solution:
A set of developed tool(s) along with a suitable Cloud architecture to be demonstrated. The demonstrated website should be protected well against different types of DDoS attack. In case of an attack, the developed security tools
should be able to automatically detect and protect a website hosted on cloud infrastructure against DDoS attacks. The solution should also demonstrate the automatic recovery from the attack. As high availability is an essential feature, the down time (recovery time) should be minimized to the extent possible.OrganizationMinistry of DefenceDepartmentDefence Research and Devlopment Organisation (DRDO)CategorySoftwareThemeBlockchain & CybersecurityYoutube LinkDataset LinkContact info",Problem Statement ID,1649,Problem Statement Title,DDoS Protection System for Cloud: Architecture and Tool,https://www.sih.gov.in/sih2024PS,security
136,Ministry of Electronics and Information Technology,"Creating an application to identify the presence of government issued personally identifiable information (PII) embedded in documents and data, inadvertently or otherwise.×Problem Statement DetailsProblem Statement ID1668Problem Statement TitleCreating an application to identify the presence of government issued personally identifiable information (PII) embedded in documents and data, inadvertently or otherwise.DescriptionBackground:
In today├ö├ç├ûs digital age, a wide variety of services and processes take place online. Users of these digital facilities are required to upload government-issued containing documents or provide data for successfully availing the services. However, the uploaded documents or data which are required to facilitate these digital services and processes contain personally identifiable information (PII), i.e. any data that can be used to identify an individual uniquely. These documents can be like Aadhaar card, PAN, Credit Card, Driving License etc and can include data like names, address, phone number, email address, and financial information, among others of the user. The handling of PII is crucial as its exposure can lead to privacy breaches, identity theft, and financial fraud among other cyber related issues.
Detailed Description:
The above problem statement envisages that an application be developed to identify whether PII, in the form of government-issued documents such as Aadhaar, Driving license, MHA-issued ID Cards, etc. is embedded in the uploaded document or provided data. Notable, the PII may be included inadvertently as well. PII, by its nature, is sensitive data, and its exposure must be protected against in order to safeguard users├ö├ç├û privacy. Entities and organizations handling documents or data containing users├ö├ç├û PII must be mindful of the complex challenges that arise with it ├ö├ç├┤ they have to balance data storage, encryption, access controls, data retention policies, data management processes with users├ö├ç├û knowledge and consent, notification of breaches by users, grievance redressal, etc. Such an application will aid in alerting individual users to verify whether it is necessary to upload or provide PII-containing document. Simultaneously, it will allow the personal data processing entity to check whether such PII document or data is required, and in case not necessary, help in removing, redacting or masking the PII
document or data from the uploaded or provided document or alerting the individual user regarding the same. This application would be useful for the purposes of data protection compliance, risk mitigation, enhanced security, improved data quality, operational efficiency, and legal and regulatory compliance.

Expected Solution:
A software application or library package to detect and alert users when there is personally identifiable information (PII) related to identified government-issued identification documents (Aadhaar card, PAN, Driving License to start with) embedded in the uploaded documents or providing data, while uploading or reviewing. In addition, the software application may be placed in public domain and shall allow the receiver of the document in removing, redacting or masking the PII from the document and data, if required.OrganizationMinistry of Electronics and Information TechnologyDepartmentCo-ordination DivisionCategorySoftwareThemeBlockchain & CybersecurityYoutube LinkDataset LinkContact info",Problem Statement ID,1668,Problem Statement Title,"Creating an application to identify the presence of government issued personally identifiable information (PII) embedded in documents and data, inadvertently or otherwise.",https://www.sih.gov.in/sih2024PS,security
138,Ministry of Electronics and Information Technology,"Develop a functional solution that incorporates the security of the ML model.×Problem Statement DetailsProblem Statement ID1670Problem Statement TitleDevelop a functional solution that incorporates the security of the ML model.Description1. Background. UIDAI is exploring possibilities to enable Face authentication on the desktop in a browser context. The proposed architecture to provide Face
Authentication in the browser context,requires AI on the edge to perform liveness check of the face being captured by the webcam or connected camera. UIDAI is considering the injection of ML model by using an appropriate binary code delivery mechanism.
The security of these models is important for transaction integrity and therefore seeking an innovative solution that will protect the model from any tampering and
reverse engineering.
2. Problem Description. As part of the challenge, participating teams to demonstrate model security in a browser context by using either obfuscation or
cryptography. Models are typically 5~7Mb in size and structured as flatbuffers. These models would be downloaded, when for the first time accessed on a desktop and then cached in the browser context. For subsequent face authentication transactions, a cached model would be preferred, unless otherwise the model has changed or updated.
To solve the above problem statement, teams are free to choose either ONNX web runtime or Tensor.js or any other innovative model to distribute the model in the
browser context.
The proposed solution must meet the following functional objectives.
1 Model Security. The solution must provide a mechanism to protect the model from any reverse engineering or tampering.
2 Model Size Optimisation. The solution must not significantly increase the size of the model post-implementation of security frameworks. Models are
expected to be downloaded in 3G/4G/5G wireless networks and hence any increase in size may lead to deteriorated user experience.
3 The solution must feature backend components to prepare the ML model either using obfuscation or cryptography. The backend activity can be a one-time
task during the release of the ML models or a just-in-time approach. In the just-in-time approach, the model would be obfuscated or encrypted before being downloaded to the end user├ö├ç├ûs desktop.

3. Expected Solution. The expected outcome of this project is a functional solution that incorporates the security of the ML model at the edge. The backend for the proposed solution system must be designed to handle the high volume of transactions that is expected for any population-scale solutions.OrganizationMinistry of Electronics and Information TechnologyDepartmentCo-ordination DivisionCategorySoftwareThemeSmart AutomationYoutube LinkDataset LinkContact info",Problem Statement ID,1670,Problem Statement Title,Develop a functional solution that incorporates the security of the ML model.,https://www.sih.gov.in/sih2024PS,security
142,Narcotics Control Bureau (NCB),"Software solutions to identify users behind Telegram, WhatsApp and Instagram based drug trafficking.×Problem Statement DetailsProblem Statement ID1674Problem Statement TitleSoftware solutions to identify users behind Telegram, WhatsApp and Instagram based drug trafficking.DescriptionBackground: Use of encrypted messaging/social media apps like Telegram, WhatsApp and Instagram for drug trafficking are on the rise. Channels operating on Telegram and WhatsApp and Instagram handles are blatantly being misused by drug traffickers for offering various narcotic drugs and Psychotropic substances for sale.
Description: WhatsApp and Telegram channels and Instagram handles are created by drug traffickers to offer various drugs for sale to their subscribers. Customized
Telegram bots are also created by some of the drug traffickers to sell drugs. It is most worrisome that majority of the drugs which are being offered on sale through Telegram, WhatsApp and Instagram are dangerous synthetic drugs like MDMA, LSD, Mephedrone etc. The above three apps are also used by drug traffickers for drug communication.
Expected Solution: Development of a software solution to identify live Telegram and WhatsApp channels/bots and Instagram handles that are offering drugs for sale in India. Solution also should focus on triangulating identifiable parameters like IP address, mobile number, email id etc of the users behind the channel/bot/handle.OrganizationNarcotics Control Bureau (NCB)DepartmentNarcotics Control Bureau (NCB)CategorySoftwareThemeBlockchain & CybersecurityYoutube LinkDataset LinkContact info",Problem Statement ID,1674,Problem Statement Title,"Software solutions to identify users behind Telegram, WhatsApp and Instagram based drug trafficking.",https://www.sih.gov.in/sih2024PS,security
143,Narcotics Control Bureau (NCB),"Software solution to identify the end receiver of a cryptocurrency transaction×Problem Statement DetailsProblem Statement ID1675Problem Statement TitleSoftware solution to identify the end receiver of a cryptocurrency transactionDescriptionBackground: Use of cryptocurrencies like bitcoin, USDT, Monero etc. for drug trafficking activities are increasingly becoming common. The relative anonymity and speed provided by cryptocurrencies are misused by drug traffickers as a mode of transaction for drug sales and also as an asset to amass the proceeds of crime.
Description: Drug traffickers operating on darknet and elsewhere on internet enabled platforms like social media apps, messaging services etc receive the value of drugs through cryptocurrencies. In a few cases, the drug traffickers save their proceeds of crime in cryptocurrencies. During the course of investigations and also through intelligence, wallet addresses and transactions hash related to drug transactions are obtained by Drug Law Enforcement Agencies, Further, it has also been observed that these finds are often passed through variety of services like tumblers, mixers, bridges etc to further anonymize the transactions. It is important to follow the trial of funds associated with drug transactions to identify the real persons behind the drug trafficking network.
Expected Solution: Development of a software solution to follow the cryptocurrency transaction trial associated with a wallet id/transaction to find out the real receiver of the funds in a drug related transaction.OrganizationNarcotics Control Bureau (NCB)DepartmentNarcotics Control Bureau (NCB)CategorySoftwareThemeBlockchain & CybersecurityYoutube LinkDataset LinkContact info",Problem Statement ID,1675,Problem Statement Title,Software solution to identify the end receiver of a cryptocurrency transaction,https://www.sih.gov.in/sih2024PS,security
144,National Technical Research Organisation (NTRO),"Web-scrapping tool to be developed to search and report Critical and High Severity Vulnerabilities of OEM equipment (IT and OT) published at respective OEM websites and other relevant web platforms.×Problem Statement DetailsProblem Statement ID1676Problem Statement TitleWeb-scrapping tool to be developed to search and report Critical and High Severity Vulnerabilities of OEM equipment (IT and OT) published at respective OEM websites and other relevant web platforms.DescriptionBackground: Critical Sector organisations uses a number of IT and OT equipment (e.g. Networking and hardware device, Operating Systems, Applications, Firmware etc.). These devices/application come with vulnerabilities from time to time. There should be timely information sharing mechanism by which the concerned equipment users at critical sector orgs should be altered regarding any critical / high severity vulnerabilities in their equipment within the shortest possible time. Detailed description: The ICT components (HW/SW) being used by Critical Sector Organisations become vulnerable from time to time. These vulnerabilities can be categorised as Critical, High, Medium and Low. Any exploitation of these vulnerabilities can cause havoc in multiple Critical Sector Organisations where such vulnerable equipment are being used. Keeping in view of the above, there is a need to monitor all such vulnerability information published at the equipment├ö├ç├ûs OEM websites and also other relevant websites. Once a critical or high severity vulnerability information is published at OEM website or any other relevant website, the ├ö├ç├┐to be developed scrapper├ö├ç├û will immediately take that vulnerability input along with possible mitigating strategy published in the website and send the information to predefined email id(s). Note: The NVD website publishes such OEM vulnerable information. But the same comes with a time lag. It is therefore needed to get such information directly from OEM websites and /or from other relevant websites where such vulnerable information is published almost in real time. Expected Outcome: An automatic script using open source tools to be developed for the OEM vulnerability information scrapping and reporting. Tool should know various vulnerability information published data formats/syntax at OEM websites (both for IT and OT hardware and application) and come up with optimum solution for monitoring and reporting of such vulnerability information.  The output of the tool that will be emailed to pre-designated email id(s) is as per following (shared with example; all fields may not be available at the time of reporting): * Product Name: Chrome * Product Version: - NA * OEM name: Google * Severity Level (Critical/High): High * Vulnerability: The N-able PassPortal extension before 3.29.2 for Chrome inserts sensitive information into a log file. * Mitigation Strategy: Install patch from https://me.n-able.com/s/security-advisory/aArHs000000M8CCKA0/cve202347131-passportal-browser-extension-logs-sensitive-data * Published Date: Jan 2024 * Unique ID: CVE-2023-47131OrganizationNational Technical Research Organisation (NTRO)DepartmentNational Technical Research Organisation (NTRO)CategorySoftwareThemeBlockchain & CybersecurityYoutube LinkDataset LinkContact info",Problem Statement ID,1676,Problem Statement Title,Web-scrapping tool to be developed to search and report Critical and High Severity Vulnerabilities of OEM equipment (IT and OT) published at respective OEM websites and other relevant web platforms.,https://www.sih.gov.in/sih2024PS,security
146,National Technical Research Organisation (NTRO),"RE-DACT×Problem Statement DetailsProblem Statement ID1678Problem Statement TitleRE-DACTDescriptionBackground: Easy to use and secure redaction tool ├ö├ç┬úRE-DACT├ö├ç├ÿ which allows redaction/masking/anonymization on various input formats based on a gradational scale defined by the user and providing customized output. Over a time, model will learn and have the ability to generate realistic synthetic data in any sought format.
Description: The proposed solution is a natural language processing (machine learning) based redaction tool. The tool will redact or obfuscate from original data leaving the output structurally/logically the same but stripped of key identifiers and other content which may in any way allow the identity, actual data, markers or issues in the input content to be revealed. The correlational logic may be appropriately obfuscated based on the degree of redaction. This will have an easy to use GUI and will be available for use on online and offline systems.
The degree of the redaction will be up to the user- the higher the degree set by the user, the more the degree of redaction. This will work with all different commonly used formats for text and data sets. Security of data will be assured by ensuring that the input data is not stored or retrievable in any fashion by third party entities. User will have complete control over the input data.
It is also an important aspect that sometimes data may be required to be stored or submitted, however specific sensitive details may not necessarily be required. In such a situation- anonymized data authenticated as having being redacted from original would suffice.
Declassification processes are long and arduous; anonymization is largely manual or custom script driven. By providing a gradational redaction option, ordinary users can strip away the specificity to the extent of liking-from merely name removal/anonymization to completely synthetic data with only faint traces of original structure/pattern. This can allow generation of large number of databases with realistic but anonymized data that can be shared for learning, growth and commercial ventures.
Expected Solution:
Problem Statement: Easy to use and secure redaction tool ├ö├ç┬úRE-DACT├ö├ç├ÿ which allows redaction/masking/anonymization on various input formats based on a gradational scale defined by the user and providing customized output. Over a time, model will learn and have the ability to generate realistic synthetic data in any sought format.
Stage 1
Data: Curate and use own data set for building PoC
Task/Result: Input/Output: Supports common input formats (text files, images) and basic output formats (redacted files, logs). Web based version
Training Dataset: Publicly available dataset can be used for the purpose.
Metrics: Precision, Recall, F1 Score on Open Source Testing dataset.
Stage 2
Data: Dataset will be provided in Grand Finale
Task/Result: Input/Output: Expands to handle more data formats (e.g., PDFs, videos) and advanced output options (e.g., redacted versions with annotations).
Training Dataset: Diverse data set prepared from commonly used formats
Metrics: Precision, Recall, F1 Score on Open Source Testing dataset.

Performance/Evaluation Criteria:
├ö├ç├│ PoC will be preferred over just concept or presentation.
The performance may be ascertained on the following metrics:
├ö├ç├│ Efficacy of the redaction/anonymization- whether appropriate data has been redacted
├ö├ç├│ Gradational effect achieved based on user preference and ability to calibrate.
├ö├ç├│ Ability to work on a variety of input sources
├ö├ç├│ Security of the input data by minimal retention
├ö├ç├│ Speed
├ö├ç├│ Optimized computing usage and ability to operate at scale.
├ö├ç├│ Ease of use, UI, UX.
├ö├ç├│ Performance benchmarked against COTS solutions.
├ö├ç├│ Web Based and Offline solution.
├ö├ç├│ Minimal API dependency
├ö├ç├│ Use of Secure Coding Practices and cybersecurity built in designOrganizationNational Technical Research Organisation (NTRO)DepartmentNational Technical Research Organisation (NTRO)CategorySoftwareThemeBlockchain & CybersecurityYoutube LinkDataset LinkContact info",Problem Statement ID,1678,Problem Statement Title,RE-DACT,https://www.sih.gov.in/sih2024PS,security
